iata,icao,airport,latitude,longitude
SDE,SANE,Vicecomodoro Angel de la Paz Aragones Airport,-27.7656,-64.31
AFA,SAMR,San Rafael Airport (Argentina),-34.5883,-68.4039
HOS,SAHC,Chos Malal Airport,-37.4447,-70.2225
APZ,SAHZ,Zapala Airport,-38.9755,-70.1136
SFN,SAAV,Sauce Viejo Airport,-31.7117,-60.8117
COR,SACO,Ingeniero Aeronautico Ambrosio L.V. Taravella International Airport (Pajas Blancas),-31.3236,-64.208
SGV,SAVS,Sierra Grande Airport,-41.5917,-65.3394
UZU,SATU,Curuzu Cuatia Airport,-29.7706,-57.9789
SLA,SASA,Martin Miguel de Guemes International Airport,-24.856,-65.4862
MQD,SAVQ,Maquinchao Airport,-41.2431,-68.7078
OES,SAVN,Antoine de Saint Exupery Airport,-40.7512,-65.0343
CPC,SAZY,Aviador Carlos Campos Airport,-40.0754,-71.1373
TTG,SAST,Tartagal Airport,-22.6196,-63.7937
CSZ,SAZC,Brigadier Hector Eduardo Ruiz Airport,-37.4461,-61.8893
CTC,SANC,Coronel Felipe Varela International Airport,-28.5956,-65.7517
OLN,SAVM,Lago Musters Airport,-45.5824,-68.9998
CPG,,Carmen de Patagones Airport,-40.7781,-62.9803
SST,SAZL,Santa Teresita Airport,-36.5423,-56.7218
BRC,SAZS,San Carlos de Bariloche Airport,-41.1512,-71.1575
ORA,SASO,Oran Air,-23.1528,-64.3292
UAQ,SANU,Domingo Faustino Sarmiento Airport,-31.5715,-68.4182
ARR,SAVR,Alto Rio Senguer Airport,-45.0136,-70.8122
OVR,SAZF,Olavarria Airport,-36.89,-60.2166
OYA,SATG,Goya Airport,-29.1058,-59.2189
OYO,SAZH,Tres Arroyos Airport,-38.3869,-60.3297
LUQ,SAOU,Brigadier Mayor Cesar Raul Ojeda Airport,-33.2732,-66.3564
TUC,SANT,Teniente General Benjamin Matienzo International Airport,-26.8409,-65.1049
CLX,SATC,Clorinda Airport,-25.3036,-57.7344
EMX,SAVD,El Maiten Airport,-42.0292,-71.1725
PEH,SAZP,Comodoro Pedro Zanni Airport,-35.8446,-61.8576
PMQ,SAWP,Perito Moreno Airport,-46.5379,-70.9787
PMY,SAVY,El Tehuelche Airport,-42.7592,-65.1027
ULA,SAWJ,Capitan Jose Daniel Vazquez Airport,-49.3068,-67.8026
JUJ,SASJ,Gobernador Horacio Guzman International Airport,-24.3928,-65.0978
GNR,SAHR,Dr. Arturo Umberto Illia Airport,-39.0007,-67.6205
VLG,SAZV,Villa Gesell Airport,-37.2354,-57.0292
JSM,SAWS,Jose de San Martin Airport,-44.0486,-70.4589
PRA,SAAP,General Justo Jose de Urquiza Airport,-31.7948,-60.4804
JNI,SAAJ,Junin Airport,-34.5459,-60.9306
GHU,SAAG,Gualeguaychu Airport,-33.0103,-58.6131
USH,SAWH,Ushuaia - Malvinas Argentinas International Airport,-54.8433,-68.2958
PRQ,SARS,Presidencia Roque Saenz Pena Airport,-26.7536,-60.4922
GGS,SAWR,Gobernador Gregores Airport,-48.7831,-70.15
CRD,SAVC,General Enrique Mosconi International Airport,-45.7853,-67.4655
EHL,SAVB,El Bolson Airport,-41.9432,-71.5323
PSS,SARP,Libertador General Jose de San Martin Airport,-27.3858,-55.9707
TDL,SAZT,Tandil Airport,-37.2374,-59.2279
PUD,SAWD,Puerto Deseado Airport,-47.7353,-65.9041
RAF,SAFR,Rafaela Airport,-31.2825,-61.5017
FTE,SAWA,Comandante Armando Tola International Airport,-50.2803,-72.0531
FMA,SARF,Formosa International Airport (El Pucu Airport),-26.2127,-58.2281
VME,SAOR,Villa Reynolds Airport,-33.7299,-65.3874
IRJ,SANL,Capitan Vicente Almandos Almonacid Airport,-29.3816,-66.7958
VGS,,General Villegas Airport,-35,-63
LPG,SADL,La Plata Airport,-34.9722,-57.8947
CUT,SAZW,Cutral Co Airport,-38.9397,-69.2646
CRR,SANW,Ceres Airport,-29.8723,-61.9279
LMD,,Los Menucos Airport,-40.8177,-68.0747
RCQ,SATR,Reconquista Airport,-29.2103,-59.68
LLS,SATK,Alferez Armando Rodriguez Airport,-24.7214,-60.5488
RCU,SAOC,Las Higueras Airport,-33.0851,-64.2613
NCJ,SAFS,Sunchales Airport,-30.9575,-61.5283
MJR,,Miramar Airport,-38.2271,-57.8697
RDS,SAHS,Rincon de los Sauces Airport,-37.3906,-68.9042
REL,SAVT,Almirante Marcos A. Zar Airport,-43.2105,-65.2703
VDR,SAOD,Villa Dolores Airport,-31.9452,-65.1463
MCS,SARM,Monte Caseros Airport,-30.2719,-57.6402
LHS,SAVH,Las Heras Airport,-46.5383,-68.9653
LGS,SAMM,Comodoro D. Ricardo Salomon Airport,-35.4936,-69.5743
BHI,SAZB,Comandante Espora Airport,-38.725,-62.1693
MDQ,SAZM,Astor Piazzolla International Airport,-37.9342,-57.5733
LCP,,Loncopue Airport,-38.0819,-70.6439
LCM,SACC,La Cumbre Airport,-31.0058,-64.5319
RES,SARE,Resistencia International Airport,-27.45,-59.0561
NQN,SAZN,Presidente Peron International Air,-38.949,-68.1557
MDX,SATM,Mercedes Airport,-29.2214,-58.0878
CVH,,Caviahue Airport,-37.8514,-71.0092
CVI,,Caleta Olivia Airport,-46.4318,-67.5186
VDM,SAVV,Gobernador Edgardo Castello Airport,-40.8692,-63.0004
RGA,SAWE,Hermes Quijada International Airport,-53.7777,-67.7494
RGL,SAWG,Piloto Civil Norberto Fernandez International Airport,-51.6089,-69.3126
EQS,SAVE,Esquel Airport,-42.908,-71.1395
MDZ,SAME,Gov. Francisco Gabrielli International Airport (El Plumerillo),-32.8317,-68.7929
RHD,SANR,Termas de Rio Hondo Airport,-27.4966,-64.936
AOL,SARL,Paso de los Libres Airport,-29.6894,-57.1521
IGR,SARI,Cataratas del Iguazu International Airport,-25.7373,-54.4734
CNT,,Charata Airport,-27.2164,-61.2103
CCT,,Colonia Catriel Airport,-37.9102,-67.835
VCF,,Valcheta Airport,-40.7,-66.15
IGB,SAVJ,Ingeniero Jacobacci Airport (Capitan FAA H. R. Borden Airport),-41.3209,-69.5749
NEC,SAZO,Necochea Airport,-38.4831,-58.8172
PPG,NSTU,Pago Pago International Airport,-14.331,-170.71
TAV,,Tau Airport,-14.2292,-169.511
OFU,NSAS,Ofu Airport,-14.1844,-169.67
LNZ,LOWL,Linz Airport (Blue Danube Airport),48.2332,14.1875
SZG,LOWS,Salzburg Airport,47.7933,13.0043
KLU,LOWK,Klagenfurt Airport,46.6425,14.3377
GRZ,LOWG,Graz Airport,46.9911,15.4396
INN,LOWI,Innsbruck Airport (Kranebitten Airport),47.2602,11.344
VIE,LOWW,Vienna International Airport,48.1103,16.5697
HOH,LOIH,Hohenems-Dornbirn Airport,47.385,9.7
PHQ,YTMO,The Monument Airport,-21.8111,139.924
CBC,,Cherrabun Airport,-18.9178,125.538
MSF,YMNS,Mount Swan Airport,-22.6247,135.035
AAB,YARY,Arrabury Airport,-26.693,141.048
XTO,YTAM,Taroom Airport,-25.8017,149.9
MXU,YMWA,Mullewa Airport,-28.475,115.517
CED,YCDU,Ceduna Airport,-32.1306,133.71
RSB,YRSB,Roseberth Airport,-25.8333,139.65
HVB,YHBA,Hervey Bay Airport,-25.3189,152.88
RRV,,Robinson River Airport (Northern Territory),-16.7183,136.945
RRE,YMRE,Marree Airport,-29.6633,138.065
DCN,YCIN,RAAF Base Curtin,-17.5814,123.828
RPV,,Roper Valley Airport,-14.9215,134.05
XTG,YTGM,Thargomindah Airport,-27.9864,143.811
HWK,YHAW,Wilpena Pound Airport,-31.8559,138.468
MXD,YMWX,Marion Downs Airport,-23.3637,139.65
RPM,YNGU,Ngukurr Airport,-14.7228,134.747
HXX,YHAY,Hay Airport,-34.5314,144.83
DDN,YDLT,Delta Downs Airport,-16.9917,141.317
CES,YCNK,Cessnock Airport,-32.7875,151.342
RPB,YRRB,Roper Bar Airport,-14.7348,134.525
ROK,YBRK,Rockhampton Airport,-23.3819,150.475
ROH,YROB,Robinhood Airport,-18.845,143.71
MWY,YMIR,Miranda Downs Airport,-17.3289,141.886
LRE,YLRE,Longreach Airport,-23.4342,144.28
RMK,YREN,Renmark Airport,-34.1964,140.674
RMA,YROM,Roma Airport,-26.545,148.775
MWT,YMWT,Moolawatana Airport,-29.9069,139.765
RLP,,Rosella Plains Airport,-18.4253,144.459
ABG,YABI,Abingdon Airport,-17.6167,143.167
ABH,YAPH,Alpha Airport,-23.6461,146.584
XRH,YSRI,RAAF Base Richmond,-33.6006,150.781
RKY,,Rokeby Airport,-13.6434,142.641
IDK,YIDK,Indulkana Airport,-26.9667,133.325
MWB,YMRW,Morawa Airport,-29.2017,116.022
ABM,YNPE,Northern Peninsula Airport,-10.9508,142.459
IFF,YIFY,Iffley Airport,-18.9,141.217
IFL,YIFL,Innisfail Airport,-17.5594,146.012
IGH,YIGM,Ingham Airport,-18.6606,146.152
BHQ,YBHI,Broken Hill Airport,-32.0014,141.472
ZNE,YNWN,Newman Airport,-23.4178,119.803
BHS,YBTH,Bathurst Airport,-33.4094,149.652
BHT,,Brighton Downs Airport,-23.3639,141.563
CFH,,Clifton Hills Airport,-27.0183,138.892
CFI,YCFD,Camfield Airport,-17.0217,131.327
ABX,YMAY,Albury Airport,-36.0678,146.958
MVU,YMGV,Musgrave Airport,-14.7757,143.505
RHL,YRYH,Roy Hill Station Airport,-22.6258,119.959
IKP,YIKM,Inkerman Airport,-16.275,141.442
INJ,YINJ,Injune Airport,-25.851,148.55
CFP,,Carpentaria Downs Airport,-18.7167,144.317
RCN,,American River Airport,-35.7574,137.776
DFP,,Drumduff Airport,-16.053,143.012
CFS,YCFS,Coffs Harbour Airport,-30.3206,153.116
RCM,YRMD,Richmond Airport,-20.7019,143.115
INM,YINN,Innamincka Airport,-27.7,140.733
RBU,YROE,Roebourne Airport,-20.7617,117.157
DGD,YDGA,Dalgaranga Airport,-27.8303,117.316
DGE,YMDG,Mudgee Airport,-32.5625,149.611
RBS,YORB,Orbost Airport,-37.79,148.61
RBC,YROI,Robinvale Airport,-34.65,142.783
MVK,YMUK,Mulka Airport,-28.3478,138.65
MVH,,Macksville Airport,-30.7,152.917
IRG,YLHR,Lockhart River Airport,-12.7869,143.305
XMY,YYMI,Yam Island Airport,-9.90111,142.776
BIP,,Bulimba Airport,-16.8808,143.479
RAM,YRNG,Ramingining Airport,-12.3564,134.898
ISA,YBMA,Mount Isa Airport,-20.6639,139.489
ISI,YISF,Isisford Airport,-24.2583,144.425
XML,YMIN,Minlaton Airport,-34.75,137.533
IVR,YIVL,Inverell Airport,-29.8883,151.144
YNN,,Yandicoogina Airport,59.4875,-97.7803
BIW,,Billiluna Airport,-19.5667,127.667
XMC,YMCO,Mallacoota Airport,-37.5983,149.72
IVW,YINW,Inverway Airport,-17.8411,129.643
LST,YMLT,Launceston Airport,-41.5453,147.214
PXH,YPMH,Prominent Hill Airport,-29.716,135.524
DHD,YDRH,Durham Downs Airport,-27.075,141.9
ADL,YPAD,Adelaide Airport,-34.945,138.531
JAB,YJAB,Jabiru Airport,-12.6583,132.893
JAD,YPJT,Jandakot Airport,-32.0975,115.881
ADO,YAMK,Andamooka Airport,-30.4383,137.137
LSY,YLIS,Lismore Airport,-28.8303,153.26
CGV,YCAG,Caiguna Airport,-32.265,125.493
JCK,YJLC,Julia Creek Airport,-20.6683,141.723
LTB,,Latrobe Airport,-41.2352,146.396
MUQ,YMUC,Muccan Station Airport,-20.6589,120.067
ZGL,YSGW,South Galway Airport,-25.6833,142.108
MUP,YMUP,Mulga Park Airport,-25.86,131.65
PUG,YPAG,Port Augusta Airport,-32.5069,137.717
PTJ,YPOD,Portland Airport,-38.3181,141.471
PRD,YPDO,Pardoo Airport,-20.1175,119.59
PQQ,YPMQ,Port Macquarie Airport,-31.4358,152.863
PPP,YBPN,Whitsunday Coast Airport,-20.495,148.552
PPI,YPIR,Port Pirie Airport,-33.2389,137.995
JUN,YJDA,Jundah Airport,-24.8417,143.058
JUR,YJNB,Jurien Bay Airport,-30.3016,115.056
KAX,YKBR,Kalbarri Airport,-27.6928,114.259
KBB,,Kirkimbie Airport,-17.7792,129.21
KBD,,Kimberley Downs Airport,-17.3978,124.355
LTP,YLHS,Lyndhurst Airport,-19.1958,144.371
KBJ,YKCA,Kings Canyon Airport,-24.26,131.49
PMK,YPAM,Palm Island Airport,-18.7553,146.581
KBY,YKBY,Streaky Bay Airport,-32.8358,134.293
KCE,YCSV,Collinsville Airport,-20.5967,147.86
PLO,YPLC,Port Lincoln Airport,-34.6053,135.88
KCS,YKCS,Kings Creek Station Airport,-24.4233,131.835
PKT,YKPT,Port Keats Airfield,-14.25,129.529
LTV,YLOV,Lotus Vale Station Airport,-17.0483,141.376
KDB,YKBL,Kambalda Airport,-31.1907,121.598
KDS,,Kamaran Downs Airport,-24.3388,139.279
PKE,YPKS,Parkes Airport,-33.1314,148.239
PHE,YPPD,Port Hedland International Airport,-20.3778,118.626
MFL,,Mount Full Stop Airport,-19.67,144.885
ZBO,YBWN,Bowen Airport,-20.0183,148.215
KFE,YFDF,Fortescue Dave Forrest Airport,-22.2908,119.437
MTQ,YMIT,Mitchell Airport,-26.4833,147.937
MTL,YMND,Maitland Airport,-32.7013,151.493
ZBL,,Biloela Airport,-24.4,150.51
KFG,YKKG,Kalkgurung Airport,-17.4319,130.808
KGC,YKSC,Kingscote Airport,-35.7139,137.521
BKP,YBAW,Barkly Downs Airport,-20.4958,138.475
BKQ,YBCK,Blackall Airport,-24.4278,145.429
KGI,YPKG,Kalgoorlie-Boulder Airport,-30.7894,121.462
CIE,YCOI,Collie Airport,-33.3667,116.217
PEY,,Penong Airport,-31.9167,133
DKI,YDKI,Dunk Island Airport,-17.9417,146.14
KGR,,Kulgera Airport,-25.8428,133.292
PER,YPPH,Perth Airport,-31.9403,115.967
PEP,,Peppimenarti Airport,-14.1442,130.091
DKV,YDVR,Docker River Airport,-24.86,129.07
KGY,YKRY,Kingaroy Airport,-26.5808,151.841
PEA,YPSH,Penneshaw Airport,-35.7558,137.963
PDN,,Parndana Airport,-35.807,137.264
PDE,YPDI,Pandie Pandie Airport,-26.1167,139.4
MTD,YMSF,Mount Sandford Station Airport,-16.9783,130.555
PBO,YPBO,Paraburdoo Airport,-23.1711,117.745
AGW,,Agnew Airport,-12.1456,142.149
KKP,YKLB,Koolburra Airport,-15.3189,143.955
OYN,YOUY,Ouyen Airport,-35.089,142.354
LUT,YLRS,New Laura Airport,-15.1833,144.367
LUU,YLRA,Laura Airport,-15.55,144.45
DLK,YDLK,Dulkaninna Airport,-29.0133,138.481
XCO,YOLA,Colac Airport,-38.2867,143.68
OXY,YMNY,Morney Airport,-25.3583,141.433
OXO,,Orientos Airport,-28.0598,141.536
MGV,YMGR,Margaret River Station Airport,-18.6217,126.883
BLN,YBLA,Benalla Airport,-36.5519,146.007
KML,YKML,Kamileroi Airport,-19.375,140.057
DLV,YDLV,Delissaville Airport,-12.55,130.685
OSO,YOSB,Osborne Mine Airport,-22.0817,140.555
KNI,YKNG,Katanning Airport,-33.7167,117.633
BLS,YBLL,Bollon Airport,-28.0583,147.483
BLT,YBTR,Blackwater Airport,-23.6031,148.807
CJF,YCWA,Coondewanna Airport,-22.9667,118.813
KNS,YKII,King Island Airport,-39.8775,143.878
KNX,YPKU,East Kimberley Regional Airport,-15.7781,128.708
DMD,YDMG,Doomadgee Airport,-17.9403,138.822
ORS,,Orpheus Island Resort Waterport,-18.634,146.5
ORR,YYOR,Yorketown Airport,-35,137.617
LVO,YLTN,Laverton Airport,-28.6136,122.424
YLG,YYAL,Yalgoo Airport,-28.3553,116.684
KOH,YKLA,Koolatah Airport,-15.8886,142.439
OPI,YOEN,Oenpelli Airport,-12.325,133.006
MRZ,YMOR,Moree Airport,-29.4989,149.845
BME,YBRM,Broome International Airport,-17.9447,122.232
OOR,YMOO,Mooraberree Airport,-25.25,140.983
OOM,YCOM,Cooma-Snowy Mountains Airport,-36.3006,148.974
MRT,,Moroak Airport,-14.8181,133.701
KPP,YKPR,Kalpowar Airport,-14.89,144.22
OOL,YBCG,Gold Coast Airport (Coolangatta Airport),-28.1644,153.505
LWH,YLAH,Lawn Hill Airport,-18.5683,138.635
KPS,YKMP,Kempsey Airport,-31.0744,152.77
DNB,YDBR,Dunbar Airport,-16.05,142.4
CKI,YCKI,Croker Island Airport,-11.165,132.483
ONS,YOLW,Onslow Airport,-21.6683,115.113
DNG,,Doongan Airport,-15.3864,126.302
BMP,YBPI,Brampton Island Airport,-20.8033,149.27
MRP,YALA,Marla Airport,-27.3333,133.627
MRL,,Miners Lake Airport,46.3834,-82.6331
ONR,YMNK,Monkira Airport,-24.8167,140.533
ONG,YMTI,Mornington Island Airport,-16.6625,139.178
MRG,YMBA,Mareeba Airfield,-17.0692,145.419
WYN,YWYM,Wyndham Airport,-15.5114,128.153
MQZ,YMGT,Margaret River Airport,-33.9306,115.1
WYA,YWHA,Whyalla Airport,-33.0589,137.514
DNM,,Denham Airport,-25.8882,113.577
KQR,YKAR,Karara Airport,-29.2167,116.687
KRA,YKER,Kerang Airport,-35.7514,143.939
WWY,YWWL,West Wyalong Airport,-33.9372,147.191
CKW,YCHK,Graeme Rowley Aerodrome,-22.3543,119.643
DNQ,YDLQ,Deniliquin Airport,-35.5594,144.946
KRB,YKMB,Karumba Airport,-17.4567,140.83
WWI,YWWI,Woodie Woodie Airport,-21.6628,121.234
MQL,YMIA,Mildura Airport,-34.2292,142.086
KRD,,Kurundi Airport,-20.51,134.671
BNE,YBBN,Brisbane Airport,-27.3842,153.117
OLP,YOLD,Olympic Dam Airport,-30.485,136.877
MFP,YMCR,Manners Creek Airport,-22.1,137.983
MQE,YMQA,Marqua Airport,-22.8058,137.251
OKY,YBOK,Oakey Army Aviation Centre,-27.4114,151.735
BNK,YBNA,Ballina Byron Gateway Airport,-28.8339,153.562
CLH,YCAH,Coolah Airport,-31.7733,149.61
OKR,YYKI,Yorke Island Airport,-9.7528,143.406
KSV,YSPV,Springvale Airport,-23.55,140.7
OKB,YORC,Orchid Beach Airport,-24.9594,153.315
WUN,YWLU,Wiluna Airport,-26.6292,120.221
WUI,YMMI,Murrin Murrin Airport,-28.7053,121.891
KTA,YPKA,Karratha Airport,-20.7122,116.773
MQA,YMDI,Mandora Station Airport,-19.7383,120.838
MGT,YMGB,Milingimbi Airport,-12.0944,134.894
KTR,YPTN,RAAF Base Tindal,-14.5211,132.378
ODR,YORV,Ord River Airport,-17.3408,128.912
ALH,YABA,Albany Airport,-34.9433,117.809
WUD,YWUD,Wudinna Airport,-33.0433,135.447
LYT,,Lady Elliot Island Airport,-24.1129,152.716
ODL,YCOD,Cordillo Downs Airport,-26.7453,140.638
KUG,YKUB,Kubin Airport,-10.225,142.218
ODD,YOOD,Oodnadatta Airport,-27.5617,135.447
DOX,YDRA,Dongara Airport,-29.2981,114.927
OCM,YBGD,Boolgeeda Airport,-22.54,117.275
OBA,,Oban Airport,56.4657,-5.3977
KWM,YKOW,Kowanyama Airport,-15.4856,141.751
CMA,YCMU,Cunnamulla Airport,-28.03,145.622
OAG,YORG,Orange Airport,-33.3817,149.133
WTB,YBWW,Toowoomba Wellcamp Airport,-27.5583,151.793
MOV,YMRB,Moranbah Airport,-22.0578,148.077
CMD,YCTM,Cootamundra Airport,-34.6239,148.028
DPO,YDPO,Devonport Airport,-41.1697,146.43
LZR,YLZI,Lizard Island Airport,-14.6733,145.455
MOO,YOOM,Moomba Airport,-28.0994,140.197
NYN,YNYN,Nyngan Airport,-31.5511,147.203
WSY,YSHR,Whitsunday Airport,-20.2761,148.755
KYF,YYLR,Yeelirrie Airport,-27.2771,120.096
KYI,YYTA,Yalata Airport,-31.4706,131.825
DRB,YDBY,Derby Airport,-17.37,123.661
DRD,YDOR,Dorunda Airport,-16.5537,141.824
BOX,YBRL,Borroloola Airport,-16.0753,136.302
CML,YCMW,Camooweal Airport,-19.9117,138.125
WRW,YWWG,Warrawagine Airport,-20.8442,120.702
WRN,YWDG,Windarling Airport,-30.0317,119.39
NUR,YNUB,Nullabor Motel Airport,-31.4417,130.902
NUB,YNUM,Numbulwar Airport,-14.2717,135.717
CMQ,YCMT,Clermont Airport,-22.7731,147.621
AMT,YAMT,Amata Airport,-26.1083,131.207
NTN,YNTN,Normanton Airport,-17.6841,141.07
NTL,YWLM,Newcastle Airport / RAAF Base Williamtown,-32.795,151.834
AMX,,Ammaroo Airport,-21.7383,135.242
DRN,YDBI,Dirranbandi Airport,-28.5917,148.217
MNW,YMDS,MacDonald Downs Airport,-22.444,135.199
MNV,,Mount Valley Airport,-14.1167,133.833
MNQ,YMTO,Monto Airport,-24.8858,151.1
NSV,YNSH,Noosa Airport,-26.4233,153.063
DRR,YDRI,Durrie Airport,-25.685,140.228
NSO,YSCO,Scone Airport,-32.0372,150.832
WPK,YWMP,Wrotham Park Airport,-16.6583,144.002
NSM,YNSM,Norseman Airport,-32.21,121.755
NRY,,Newry Airport,-16.0442,129.264
DRW,YPDN,Darwin International Airport,-12.4147,130.877
CNB,YCNM,Coonamble Airport,-30.9833,148.376
MNG,YMGD,Maningrida Airport,-12.0561,134.234
BQB,YBLN,Busselton Regional Airport,-33.6884,115.402
CNC,YCCT,Coconut Island Airport,-10.05,143.07
DRY,YDRD,Drysdale River Airport,-15.7136,126.381
LBH,,Palm Beach Water Airport,-33.5871,151.323
MNE,YMUG,Mungeranie Airport,-28.0092,138.657
